ageb,POBTOT,x,y,n_denue,lon,lat
4043,4417,494696.5083245975,2137969.2514791656,226.0,-99.05049162118965,19.33566281225749
4058,3227,493749.5289368032,2137424.3231164585,212.0,-99.05950550289387,19.330735381997147
4062,2990,493397.0862222984,2136908.795144647,96.0,-99.06285903133904,19.32607524548355
4077,4751,498465.17131173564,2138237.9880977357,96.0,-99.01461247600238,19.338097887159364
4081,5245,498803.5686868509,2138311.9221978863,108.0,-99.01139077943567,19.338766285520673
4096,6341,496788.4568818229,2137125.8149006628,228.0,-99.03057391629928,19.32804480203943
4109,7678,496792.85466623213,2136754.205901977,195.0,-99.03053142546992,19.32468644334732
4113,2033,492358.2059776847,2137848.2544481023,72.0,-99.07275281347216,19.334561794618164
4128,1861,492768.98621197644,2137950.955145245,6.0,-99.06884241902745,19.335491455497237
4147,508,492139.9425910641,2137594.5393966637,12.0,-99.07482971902918,19.33226804171467
4151,1449,492489.9490551353,2137586.4483910105,54.0,-99.07149753980927,19.33219625759165
4166,2650,492366.50147092826,2137360.968153472,56.0,-99.07267188931158,19.330158048431414
4170,4478,493828.35305958294,2136298.6530777873,168.0,-99.05875144808896,19.32056253883975
4185,3902,493622.79827053,2135940.201069587,155.0,-99.06070704516237,19.31732243564632
419A,3319,494605.08745530306,2137072.487205505,22.0,-99.05135945521978,19.327558190912463
4202,3513,494819.7068879432,2136841.9646098665,218.0,-99.0493156581214,19.325475438855516
4217,3246,494973.19586703874,2136674.0470882957,88.0,-99.04785402330077,19.323958296429435
4236,8000,495496.2148642997,2136380.9255343666,250.0,-99.0428743124872,19.321310488000368
4240,5046,497263.0465619151,2137169.661030163,206.0,-99.02605588193536,19.32844175693032
426A,5157,502443.5668633742,2137351.921395854,412.0,-98.97673693402426,19.330089287433513
4274,6175,502422.84403780894,2137010.383139303,141.0,-98.97693465117459,19.327002707573744
4289,3047,502912.29411533254,2137118.784385288,98.0,-98.97227494707191,19.327981720110298
4293,5256,503195.6966113795,2137231.441651503,244.0,-98.96957676583065,19.328999414418213
4306,1814,491446.6483334912,2134125.995869283,83.0,-99.08141452843347,19.300918717447853
4310,2911,491782.35787218664,2133924.305063918,71.0,-99.0782182347919,19.29909735743033
4325,1681,491548.95519248286,2133727.094679015,30.0,-99.0804389661281,19.29731412623025
433A,4019,492520.2843548863,2133589.5908045643,301.0,-99.07119310253186,19.296075289124563
4344,2790,492527.95873265556,2133307.023923184,55.0,-99.07111895354744,19.293521650675945
4359,2616,492724.99738146446,2133168.335887829,93.0,-99.06924301193351,19.29226899327836
4363,6175,493336.72355179273,2133425.705316037,189.0,-99.0634215398525,19.29459705628587
4382,2196,492945.0647255697,2133047.739118362,304.0,-99.06714798161654,19.291179894955107
4397,1640,493142.2791597559,2132933.93102304,40.0,-99.06527051283628,19.290152046723883
