ageb,POBTOT,x,y,n_denue,lon,lat,dist_hosp_m,dist_salud_m,hosp_caminando_min,hosp_auto_min,salud_caminando_min,salud_auto_min
127A,2174,493815.42798790656,2139535.019673017,325.0,-99.05888497276106,19.34981068180639,1322.074478071688,4.055307498649085,17.627659707622506,3.966223434215064,0.05407076664865446,0.012165922495947255
1284,1379,494258.7888151467,2139739.890872316,86.0,-99.05466423327368,19.351663487344503,871.0187371229704,160.5676086006741,11.613583161639605,2.613056211368911,2.140901448008988,0.48170282580202234
1299,3461,494472.07394815766,2139226.9801339144,195.0,-99.05263197950372,19.347028737454,1540.1514835090618,345.9258029518932,20.535353113454157,4.620454450527186,4.612344039358576,1.0377774088556797
1301,4045,494675.4086972935,2139218.340689613,333.0,-99.05069598391272,19.3469512087888,1601.6743294747446,237.85913179139882,21.355657726329927,4.805022988424234,3.1714550905519845,0.7135773953741965
1316,3355,495390.30039818346,2139582.409964091,137.0,-99.0438903075156,19.350243193426973,1731.2379460543912,133.4855709235609,23.083172614058547,5.193713838163173,1.7798076123141455,0.4004567127706828
1335,0,499848.3163552242,2140415.7607482546,27.0,-99.0014442910965,19.357779747103372,190.99132342658464,190.99132342658464,2.5465509790211285,0.5729739702797539,2.5465509790211285,0.5729739702797539
134A,4839,500425.4447946384,2140273.120408819,309.0,-98.99594906028602,19.35649061930618,632.5062747774708,477.1476660409394,8.433416997032944,1.8975188243324126,6.3619688805458585,1.4314429981228183
1354,5489,487917.07288659207,2139369.6083921683,284.0,-99.1150436860176,19.348288998730805,965.1375261511821,89.33440366570483,12.868500348682428,2.8954125784535463,1.1911253822093977,0.2680032109971145
1369,6296,488487.5315901385,2139112.117849673,329.0,-99.1096107015961,19.345965320878623,165.59529888292997,165.59529888292997,2.207937318439066,0.4967858966487899,2.207937318439066,0.4967858966487899
1388,5484,489200.5220619188,2139070.063025619,290.0,-99.10282205933352,19.345589214611227,763.7171939219846,199.8467369633519,10.182895918959796,2.2911515817659542,2.6646231595113585,0.5995402108900557
141A,4046,492150.19736191566,2139309.088071344,251.0,-99.07473914256153,19.347763047639024,664.9259782843286,288.21671272468626,8.865679710457714,1.994777934852986,3.842889502995817,0.8646501381740588
1424,2881,492546.2404526284,2139102.246754085,294.0,-99.07096755128715,19.34589526054703,302.62690898007475,302.62690898007475,4.0350254530676635,0.9078807269402243,4.0350254530676635,0.9078807269402243
1439,2585,493030.8157517052,2139412.6297351,110.0,-99.06635502613568,19.34870203501514,723.860076056785,182.82523937102718,9.651467680757134,2.171580228170355,2.4376698582803624,0.5484757181130816
1443,1973,493444.4859996379,2139582.876818862,70.0,-99.06241697411244,19.35024200713951,1249.292070537189,112.58922786864186,16.65722760716252,3.747876211611567,1.5011897049152247,0.3377676836059256
1458,1726,493424.5581520543,2139267.9437800646,114.0,-99.06260562736618,19.34739578590072,1003.0140807883539,119.55557194645702,13.373521077178053,3.009042242365062,1.594074292619427,0.3586667158393711
1462,2160,493808.88246132113,2139172.66672954,150.0,-99.05894611849942,19.34653595538545,1303.4747370811945,157.93235084364076,17.379663161082593,3.9104242112435834,2.1057646779152104,0.4737970525309223
1477,2157,494089.7420846396,2139270.1672431454,38.0,-99.05627233489518,19.34741794616734,1470.988198855754,352.50561092053044,19.613175984743386,4.412964596567262,4.70007481227374,1.0575168327615914
1481,2435,494180.8791645277,2139062.569621465,10.0,-99.05540397402332,19.34554208161609,1249.1763858464312,376.24219335707915,16.655685144619085,3.7475291575392937,5.016562578094389,1.1287265800712376
1496,2524,495326.3038415037,2139175.114592059,195.0,-99.04449863959162,19.34656217864621,2046.8931707792867,17.063555552947207,27.291908943723822,6.140679512337861,0.2275140740392961,0.05119066665884162
1509,4535,496019.0630888385,2139829.611007144,277.0,-99.03790418976568,19.35247857680489,1310.356267884351,402.802096606015,17.47141690512468,3.9310688036530532,5.370694621413533,1.2084062898180452
1513,5064,496623.4111599481,2139826.360722315,442.0,-99.032149930286,19.35245030933706,673.868849208375,228.30297446275836,8.984917989445,2.021606547625125,3.044039659503445,0.6849089233882751
1566,9689,488295.31522165134,2138414.308562028,408.0,-99.11143651928468,19.339657876866987,1002.4078103204116,328.33434876397035,13.365437470938822,3.007223430961235,4.377791316852938,0.9850030462919112
1585,0,492000.6720238897,2138770.699418748,13.0,-99.07616053753354,19.342896857717648,965.8646140080343,255.84121442755455,12.878194853440458,2.897593842024103,3.411216192367394,0.7675236432826636
159A,6649,492207.5302960937,2138685.2106886827,272.0,-99.07419071960793,19.342125079304424,751.650938914114,114.26556382929778,10.022012518854854,2.254952816742342,1.5235408510573036,0.3427966914878933
1621,4393,493504.5746140116,2138476.490242876,157.0,-99.06184108662242,19.34024340939649,576.0317864813754,87.406242692188,7.680423819751672,1.7280953594441264,1.1654165692291734,0.26221872807656404
1636,2883,493799.65013863856,2138396.2384477886,174.0,-99.05903149741629,19.339519077647623,295.7530810965207,106.99144611420404,3.943374414620276,0.8872592432895622,1.426552614856054,0.32097433834261213
1640,4166,494121.65762496047,2138536.919583246,165.0,-99.05596620414576,19.34079142903123,613.5278020568899,301.3045678934275,8.180370694091865,1.8405834061706696,4.017394238579033,0.9039137036802825
1655,2448,494627.8382662821,2138435.54329845,217.0,-99.05114670302656,19.339876672455016,1099.629527111181,163.49626654576286,14.66172702814908,3.2988885813335433,2.1799502206101717,0.49048879963728864
166A,3498,495327.216170353,2138905.8670655694,196.0,-99.04448929384805,19.34412889837389,2174.89053190586,173.11949831517452,28.998540425411466,6.52467159571758,2.3082599775356605,0.5193584949455236
1674,3237,495747.080851345,2139197.021754621,174.0,-99.04049243722184,19.346761095533203,1572.7168078401126,59.75788904920349,20.96955743786817,4.7181504235203375,0.7967718539893799,0.17927366714761048
1689,2788,496075.20797984005,2139086.3106287923,132.0,-99.03736808120318,19.34576122856503,1198.8442458359805,326.9630429497414,15.98458994447974,3.5965327375079417,4.3595072393298855,0.9808891288492243
1693,2012,496384.5750640676,2139059.362480137,133.0,-99.03442253579291,19.34551826910923,853.5808179582197,280.54555581674435,11.381077572776261,2.560742453874659,3.7406074108899245,0.8416366674502331
1706,7319,496813.7818663602,2139278.192488044,544.0,-99.03033641483154,19.34749663728604,238.46250150499355,91.21356639795177,3.179500020066581,0.7153875045149807,1.2161808853060236,0.2736406991938553
1710,7600,497584.629674644,2139373.681692676,449.0,-99.02299718974714,19.348360680151654,556.4540930101621,170.65068304189123,7.419387906802161,1.6693622790304863,2.27534244055855,0.5119520491256737
1759,3567,495604.533862172,2138493.939008393,260.0,-99.04184802055777,19.34040678710277,2047.0932492076395,209.05465251369614,27.29457665610186,6.141279747622919,2.7873953668492817,0.6271639575410884
1763,6474,496037.0551056402,2138514.9233979345,410.0,-99.03773014938572,19.340597329344277,1504.3781047622606,211.84659691436227,20.058374730163475,4.513134314286782,2.824621292191497,0.6355397907430869
1778,6931,488724.139985968,2138157.5359672066,356.0,-99.10735230598564,19.33733978680739,1254.164267992118,79.54526043206802,16.722190239894907,3.7624928039763543,1.0606034724275737,0.23863578129620408
1814,3694,493644.5727374391,2138074.161143508,209.0,-99.06050686556893,19.33660786866466,265.31081917017474,223.77471593745173,3.5374775889356633,0.7959324575105242,2.983662879166023,0.6713241478123553
1833,3848,488910.400628265,2137696.0957183903,132.0,-99.10557632561598,19.33317062972915,1885.524020967548,316.9062689047957,25.14032027956731,5.656572062902645,4.225416918730609,0.9507188067143871
1848,3531,488699.9837329036,2137469.4795430363,106.0,-99.107578214226,19.331121450500177,2143.4233866059076,130.838852911425,28.578978488078768,6.430270159817723,1.7445180388189998,0.392516558734275
1852,5424,489011.5085492373,2137226.140030127,219.0,-99.10461104484862,19.32892403277432,2510.435192508048,130.44916258410353,33.47246923344064,7.531305577524145,1.739322167788047,0.3913474877523106
1867,11278,489572.2869401693,2136953.221369081,593.0,-99.09927091983008,19.32646055582408,2509.2889218972573,174.07932265291825,33.457185625296766,7.527866765691773,2.3210576353722434,0.5222379679587548
1890,5546,491896.5672365921,2136815.7856269064,397.0,-99.07714340796596,19.325229202172427,314.21054737744385,141.58267475178403,4.189473965032585,0.9426316421323316,1.8877689966904536,0.4247480242553521
1918,4953,493150.3562736608,2137146.600958591,247.0,-99.06520872562773,19.3282235571454,1135.9577654879981,135.91124405304765,15.146103539839975,3.4078732964639946,1.812149920707302,0.407733732159143
1941,4248,489900.6772808317,2136097.7478204938,135.0,-99.09614015403108,19.318731011752558,1893.8566760571682,386.3341610476864,25.25142234742891,5.681570028171505,5.151122147302485,1.1590024831430592
1960,3765,491803.9376339268,2136304.7779791583,316.0,-99.07802303462464,19.320610666938144,599.0071462151093,322.3007853354412,7.986761949534791,1.797021438645328,4.29734380447255,0.9669023560063237
1975,3499,492189.5432619068,2136446.122693824,75.0,-99.07435281280976,19.321889583506003,685.3113141805392,249.57824673558514,9.137484189073856,2.0559339425416177,3.3277099564744685,0.7487347402067555
198A,6035,492394.274491757,2136028.5295089465,357.0,-99.07240218239096,19.318116425875424,592.2020937332582,166.7571795176044,7.896027916443442,1.7766062811997745,2.2234290602347255,0.5002715385528133
1994,13946,492755.3139725351,2136329.5522453478,181.0,-99.06896643484488,19.32083820991781,43.953789592550045,43.953789592550045,0.5860505279006673,0.13186136877765015,0.5860505279006673,0.13186136877765015
2047,9950,492939.1338751833,2135741.7875153315,373.0,-99.06721437436622,19.315527017588444,624.0491281050266,22.81304503013767,8.320655041400356,1.87214738431508,0.30417393373516893,0.06843913509041301
2051,11206,494332.7517016092,2135710.3298866847,324.0,-99.05394804520576,19.315247128116788,1462.6268529128845,1011.5648520810745,19.501691372171795,4.387880558738654,13.487531361080993,3.0346945562432235
2070,4041,491500.592450528,2134756.290913968,329.0,-99.08090386565308,19.30661516050384,488.43469225785054,69.41484299412745,6.512462563438008,1.4653040767735517,0.9255312399216994,0.20824452898238238
2085,5799,491614.5254427836,2134969.951680333,233.0,-99.0798203018351,19.30854657041576,552.5994821852211,175.71969601947075,7.367993095802947,1.6577984465556632,2.34292928025961,0.5271590880584123
209A,3734,492403.3344622721,2135143.149906347,443.0,-99.0723124184253,19.31011495705726,581.1149486600882,233.65432855595571,7.748199315467843,1.7433448459802647,3.115391047412743,0.7009629856678672
2102,3577,492734.08259405295,2135163.008940054,412.0,-99.06916411464776,19.310295650920622,633.2197715386068,119.43173250077467,8.442930287181424,1.8996593146158205,1.592423100010329,0.358295197502324
2117,3108,492662.92752817663,2134823.712725354,206.0,-99.06984013608545,19.30722904558614,546.7324006392516,160.29929395385736,7.289765341856689,1.640197201917755,2.1373239193847646,0.4808978818615721
2121,146,493340.5402974941,2134819.3485054704,111.0,-99.0633900625607,19.30719195855902,341.09271932930363,341.09271932930363,4.547902924390715,1.0232781579879109,4.547902924390715,1.0232781579879109
2140,7841,492109.5719623736,2134522.1845890377,313.0,-99.07510617071728,19.304501930503115,1306.6901583913577,253.13045926731775,17.422535445218102,3.9200704751740734,3.3750727902309032,0.7593913778019533
2155,3769,492498.4208971013,2134277.208143548,301.0,-99.07140389792048,19.302289470442403,1000.3042865963994,94.51454291872527,13.337390487951991,3.0009128597891985,1.2601939055830036,0.28354362875617584
216A,3673,492820.64196297794,2134289.5376247726,183.0,-99.06833687959563,19.30240207051393,721.6003951228163,89.10373769132536,9.62133860163755,2.164801185368449,1.188049835884338,0.2673112130739761
2174,2349,493080.8467988516,2134546.7028735187,153.0,-99.06586104545578,19.30472708132281,302.85976061305473,302.85976061305473,4.038130141507397,0.9085792818391643,4.038130141507397,0.9085792818391643
2189,2349,493086.0747414132,2134130.325822551,81.0,-99.06580977767676,19.300964140657367,844.1736158760737,491.2532440061833,11.255648211680983,2.5325208476282213,6.550043253415778,1.47375973201855
2193,2575,492937.32476472826,2133660.0227590348,67.0,-99.06722390873858,19.296713314456053,1467.508060051713,454.76558266881597,19.56677413402284,4.402524180155139,6.06354110225088,1.364296748006448
2206,1638,493187.4938478769,2133708.0948691354,31.0,-99.06484292330316,19.29714862185145,1399.8892349229807,384.21099165398607,18.665189798973074,4.199667704768943,5.122813222053147,1.1526329749619584
2371,1682,496532.5539268808,2143733.0241429466,112.0,-99.03302213073655,19.38775592293403,1634.0039259693542,505.83688279998387,21.786719012924724,4.902011777908063,6.744491770666452,1.5175106483999516
2386,3610,496563.0712886836,2143562.1654604287,189.0,-99.03273119092565,19.386211873698247,1663.6950495282504,551.0511840550438,22.18260066037667,4.991085148584752,7.347349120733917,1.6531535521651315
2390,3965,491631.2668037143,2143396.050274238,713.0,-99.07969790321933,19.384696126024284,3896.2785613290403,844.3702326227603,51.950380817720536,11.688835683987122,11.258269768303471,2.533110697868281
2403,293,491560.029069656,2142885.9300814867,629.0,-99.08037405894618,19.38008571800447,3332.8883755745414,845.3998781205698,44.438511674327216,9.998665126723624,11.271998374940932,2.5361996343617097
2437,5076,496086.5074270135,2142251.8406759496,208.0,-99.03726699740342,19.374369189509785,2030.192629522017,425.78014701270155,27.069235060293558,6.090577888566051,5.677068626836021,1.2773404410381046
