ageb,POBTOT,x,y,n_denue,lon,lat,dist_hosp_pub_m,dist_hosp_priv_m,pub_caminando_min,pub_auto_min,priv_caminando_min,hosp_mas_cercano,penaliza_publico_m
0816,1207,486705.5378445335,2140977.4513978376,14.0,-99.12659011535976,19.36281193198596,2800.5245613726083,739.3407599240711,37.340327484968114,8.401573684117826,9.857876798987615,Privado,2061.1838014485375
0820,1112,486984.2844154981,2141029.149230131,20.0,-99.12393624304904,19.36328096717641,2488.4641772397304,432.04140109063405,33.179522363196405,7.465392531719192,5.760552014541787,Privado,2056.4227761490965
0835,6828,497828.4183604317,2140965.6085812734,392.0,-99.0206778454402,19.36274773583908,1122.6522879490403,2107.332278260089,14.96869717265387,3.3679568638471213,28.09776371013452,Publico,0.0
084A,7352,498575.16602717206,2140776.396285638,441.0,-99.01356715740675,19.361038430617107,645.1588136113403,1772.5353179332992,8.60211751481787,1.935476440834021,23.633804239110656,Publico,0.0
0854,3289,499041.71510612295,2141097.9896608223,343.0,-99.00912487538606,19.36394505260512,1178.1413652009885,2345.000892536297,15.70855153601318,3.5344240956029656,31.26667856715063,Publico,0.0
0888,4544,500475.8921853509,2141558.0461868923,95.0,-98.99546839668358,19.36810290555881,611.792347838717,2827.6629805708294,8.157231304516227,1.835377043516151,37.702173074277724,Publico,0.0
0892,2220,500531.4952687093,2141303.460588748,118.0,-98.99493899668448,19.365802118862945,294.3713082872674,2517.725711319448,3.924950777163566,0.8831139248618023,33.56967615092597,Publico,0.0
0905,2580,485854.3708962773,2140514.464152093,153.0,-99.13469149096636,19.358621959411245,3760.3165922640455,1872.1933880295558,50.13755456352061,11.280949776792138,24.962578507060744,Privado,1888.1232042344898
091A,1444,486773.8795336333,2140758.745071535,55.0,-99.1259378481247,19.36083586682054,2632.3697767450153,637.2181402178261,35.09826368993354,7.897109330235047,8.496241869571014,Privado,1995.151636527189
0924,3759,486830.25143956224,2140547.4386244165,245.0,-99.1253996214079,19.35892659536724,2505.453611242298,672.7286215533809,33.40604814989731,7.516360833726894,8.96971495404508,Privado,1832.724989688917
0939,4294,487348.7187061744,2140736.418624639,293.0,-99.12046414578452,19.360637799027675,1907.7939795576294,179.2646979661648,25.43725306076839,5.723381938672889,2.3901959728821973,Privado,1728.5292815914647
0943,3439,487821.2954471254,2140718.098858586,157.0,-99.1159642106035,19.360475158766985,1331.5604005782036,750.0091683953614,17.754138674376048,3.994681201734611,10.000122245271484,Privado,581.5512321828422
0958,5599,488173.1361359973,2140744.9999736613,542.0,-99.11261419620408,19.360720375222627,968.7696473829898,1196.9051993948565,12.916928631773198,2.9063089421489696,15.95873599193142,Publico,0.0
0962,8084,489076.4534796191,2140516.086136108,248.0,-99.10401159949949,19.35865672443312,557.7585541353294,1916.3996729909638,7.436780721804392,1.6732756624059884,25.551995639879518,Publico,0.0
0977,7001,489871.9712612343,2140676.413330185,436.0,-99.09643771478969,19.36010982118392,1575.5245813149677,2604.880078218145,21.0069944175329,4.726573743944903,34.73173437624194,Publico,0.0
0981,6435,490601.9321699308,2140638.8426104365,640.0,-99.0894869474329,19.359773830785723,862.3648073260042,3254.5038142710177,11.49819743101339,2.587094421978013,43.39338419028024,Publico,0.0
1000,5229,492586.4095400943,2140543.396374623,240.0,-99.07059070194752,19.35891955723382,237.83922373721256,2079.646679811559,3.171189649829501,0.7135176712116378,27.728622397487452,Publico,0.0
1015,6358,493022.8755723944,2140397.427521221,333.0,-99.0664342290257,19.3576019524381,451.4950225393947,1922.6736835982113,6.019933633858596,1.354485067618184,25.635649114642817,Publico,0.0
1034,6566,493690.4861582733,2140456.025461939,237.0,-99.06007762425062,19.358133729185045,850.5237079123738,2328.4813998904137,11.340316105498317,2.5515711237371215,31.04641866520552,Publico,0.0
1049,4690,494200.3545894103,2140653.979707025,134.0,-99.05522338760171,19.35992424354537,373.2653731245266,2933.390915784954,4.976871641660355,1.11979611937358,39.11187887713272,Publico,0.0
1053,7253,494225.27868298953,2140150.5881698965,218.0,-99.05498453936652,19.35537499997079,363.8312280079557,2501.674808379509,4.851083040106076,1.0914936840238672,33.35566411172679,Publico,0.0
1087,5902,495980.9467513351,2140797.5406693257,254.0,-99.03826915181624,19.361226003455364,2190.1004045888103,2186.6438054444097,29.201338727850803,6.570301213766431,29.155250739258797,Privado,3.4565991444005704
1091,4232,496647.8100572087,2140603.9145469028,318.0,-99.03191898506256,19.359477364072276,2265.483752104838,1592.2234785448265,30.206450028064506,6.796451256314515,21.229646380597686,Privado,673.2602735600115
1104,6367,497354.40178009256,2140292.6201264327,478.0,-99.0251905068934,19.35666514777819,1353.1661738213122,1264.5950355504187,18.04221565095083,4.0594985214639365,16.86126714067225,Privado,88.57113827089347
1123,3739,498760.4695113222,2140329.6643148395,77.0,-99.0118024217255,19.3570012881582,187.11009216151467,1283.0505510635219,2.4948012288201955,0.561330276484544,17.10734068084696,Publico,0.0
1138,4768,499558.8315243665,2140628.459122247,356.0,-99.00420073744722,19.359701930414136,586.1050794733909,1723.4694025945496,7.814734392978545,1.7583152384201728,22.979592034593995,Publico,0.0
1142,3200,500251.2616093292,2140964.297111511,82.0,-98.99760748185712,19.362737042063696,376.25678763611376,2022.4152510565948,5.016757168481517,1.1287703629083414,26.965536680754596,Publico,0.0
1157,2662,500494.89068084926,2140912.649255825,144.0,-98.99528765430878,19.36227023812692,216.26831026977482,2013.130857450459,2.8835774702636643,0.6488049308093244,26.84174476600612,Publico,0.0
1176,2180,487465.8011364177,2140061.250038517,145.0,-99.11934486257243,19.354536822316444,1669.6758382697537,1047.6159064616647,22.262344510263382,5.009027514809262,13.96821208615553,Privado,622.059931808089
